disease,severity,num_cases,delta_abs_mean_avg,delta_abs_mean_max,delta_abs_max_avg,delta_abs_max_max,mask_pixels_avg,mask_pixels_max,weight_map_mean_avg,weight_map_mean_max,weight_map_max_avg,weight_map_max_max,shading_map_mean_avg,shading_map_mean_max,shading_map_max_avg,shading_map_max_max,pseudo_depth_mean_avg,pseudo_depth_mean_max,pseudo_depth_max_avg,pseudo_depth_max_max,pseudo_highlight_mean_avg,pseudo_highlight_mean_max,pseudo_highlight_max_avg,pseudo_highlight_max_max
chin_deviation_left,1.2,1,0.23540610074996948,0.23540610074996948,6.59823751449585,6.59823751449585,14639.0,14639.0,0.033995624617034315,0.033995624617034315,0.9019607843137255,0.9019607843137255,0.006448065065870098,0.006448065065870098,0.21176470588235294,0.21176470588235294,0.007372568167892157,0.007372568167892157,0.21568627450980393,0.21568627450980393,0.0017843209060968137,0.0017843209060968137,0.050980392156862744,0.050980392156862744
mandibular_protrusion,1.2,1,0.5298316478729248,0.5298316478729248,4.811135292053223,4.811135292053223,14639.0,14639.0,0.1037506103515625,0.1037506103515625,0.9019607843137255,0.9019607843137255,0.0023999980851715686,0.0023999980851715686,0.1803921568627451,0.1803921568627451,0.0032396503523284314,0.0032396503523284314,0.20392156862745098,0.20392156862745098,0.0009112189797794118,0.0009112189797794118,0.07058823529411765,0.07058823529411765
maxillary_protrusion,1.2,1,0.0367511510848999,0.0367511510848999,0.7060611844062805,0.7060611844062805,14404.0,14404.0,0.01985940372242647,0.01985940372242647,0.5372549019607843,0.5372549019607843,0.002447509765625,0.002447509765625,0.13333333333333333,0.13333333333333333,0.007165647020526961,0.007165647020526961,0.2549019607843137,0.2549019607843137,0.002495919021905637,0.002495919021905637,0.08627450980392157,0.08627450980392157
occlusal_plane_cant,1.2,1,0.01904728077352047,0.01904728077352047,0.27436989545822144,0.27436989545822144,16026.0,16026.0,0.06353490492876838,0.06353490492876838,0.7725490196078432,0.7725490196078432,0.002463845645680147,0.002463845645680147,0.18823529411764706,0.18823529411764706,0.00416253781786152,0.00416253781786152,0.28627450980392155,0.28627450980392155,0.001519476198682598,0.001519476198682598,0.09803921568627451,0.09803921568627451
