disease,severity,num_cases,delta_abs_mean_avg,delta_abs_mean_max,delta_abs_max_avg,delta_abs_max_max,mask_pixels_avg,mask_pixels_max,weight_map_mean_avg,weight_map_mean_max,weight_map_max_avg,weight_map_max_max,shading_map_mean_avg,shading_map_mean_max,shading_map_max_avg,shading_map_max_max,pseudo_depth_mean_avg,pseudo_depth_mean_max,pseudo_depth_max_avg,pseudo_depth_max_max,pseudo_highlight_mean_avg,pseudo_highlight_mean_max,pseudo_highlight_max_avg,pseudo_highlight_max_max
chin_deviation_left,0.5,1,0.13168364763259888,0.13168364763259888,3.6770575046539307,3.6770575046539307,14639.0,14639.0,0.033995624617034315,0.033995624617034315,0.9019607843137255,0.9019607843137255,0.004604504155177696,0.004604504155177696,0.15294117647058825,0.15294117647058825,0.005073397767310049,0.005073397767310049,0.15294117647058825,0.15294117647058825,0.0011505725337009804,0.0011505725337009804,0.03529411764705882,0.03529411764705882
chin_deviation_left,0.8,1,0.1761523187160492,0.1761523187160492,4.929022312164307,4.929022312164307,14639.0,14639.0,0.033995624617034315,0.033995624617034315,0.9019607843137255,0.9019607843137255,0.005710616766237745,0.005710616766237745,0.18823529411764706,0.18823529411764706,0.006451954561121323,0.006451954561121323,0.19215686274509805,0.19215686274509805,0.0015303667853860295,0.0015303667853860295,0.043137254901960784,0.043137254901960784
chin_deviation_left,1.2,1,0.23540610074996948,0.23540610074996948,6.59823751449585,6.59823751449585,14639.0,14639.0,0.033995624617034315,0.033995624617034315,0.9019607843137255,0.9019607843137255,0.006448065065870098,0.006448065065870098,0.21176470588235294,0.21176470588235294,0.007372568167892157,0.007372568167892157,0.21568627450980393,0.21568627450980393,0.0017843209060968137,0.0017843209060968137,0.050980392156862744,0.050980392156862744
mandibular_protrusion,0.5,1,0.29336386919021606,0.29336386919021606,2.700650453567505,2.700650453567505,14639.0,14639.0,0.1037506103515625,0.1037506103515625,0.9019607843137255,0.9019607843137255,0.0017032997280943627,0.0017032997280943627,0.12941176470588237,0.12941176470588237,0.002037497127757353,0.002037497127757353,0.1411764705882353,0.1411764705882353,0.000593417298560049,0.000593417298560049,0.047058823529411764,0.047058823529411764
mandibular_protrusion,0.8,1,0.3947335183620453,0.3947335183620453,3.6054012775421143,3.6054012775421143,14639.0,14639.0,0.1037506103515625,0.1037506103515625,0.9019607843137255,0.9019607843137255,0.0021194757199754903,0.0021194757199754903,0.1607843137254902,0.1607843137254902,0.0025948318780637256,0.0025948318780637256,0.1803921568627451,0.1803921568627451,0.0007854985255821078,0.0007854985255821078,0.06274509803921569,0.06274509803921569
mandibular_protrusion,1.2,1,0.5298316478729248,0.5298316478729248,4.811135292053223,4.811135292053223,14639.0,14639.0,0.1037506103515625,0.1037506103515625,0.9019607843137255,0.9019607843137255,0.0023999980851715686,0.0023999980851715686,0.1803921568627451,0.1803921568627451,0.0029652913411458335,0.0029652913411458335,0.20392156862745098,0.20392156862745098,0.0009115181717218137,0.0009115181717218137,0.07058823529411765,0.07058823529411765
maxillary_protrusion,0.5,1,0.020844461396336555,0.020844461396336555,0.404829204082489,0.404829204082489,14404.0,14404.0,0.01985940372242647,0.01985940372242647,0.5372549019607843,0.5372549019607843,0.0017438103170955882,0.0017438103170955882,0.09411764705882353,0.09411764705882353,0.0049573711320465685,0.0049573711320465685,0.17647058823529413,0.17647058823529413,0.001677868412990196,0.001677868412990196,0.058823529411764705,0.058823529411764705
maxillary_protrusion,0.8,1,0.027662519365549088,0.027662519365549088,0.5339512825012207,0.5339512825012207,14404.0,14404.0,0.01985940372242647,0.01985940372242647,0.5372549019607843,0.5372549019607843,0.002167406269148284,0.002167406269148284,0.11764705882352941,0.11764705882352941,0.00628350949754902,0.00628350949754902,0.2235294117647059,0.2235294117647059,0.0021682440065870097,0.0021682440065870097,0.07450980392156863,0.07450980392156863
maxillary_protrusion,1.2,1,0.0367511510848999,0.0367511510848999,0.7060611844062805,0.7060611844062805,14404.0,14404.0,0.01985940372242647,0.01985940372242647,0.5372549019607843,0.5372549019607843,0.002447509765625,0.002447509765625,0.13333333333333333,0.13333333333333333,0.007165647020526961,0.007165647020526961,0.2549019607843137,0.2549019607843137,0.002495919021905637,0.002495919021905637,0.08627450980392157,0.08627450980392157
occlusal_plane_cant,0.5,1,0.011890600435435772,0.011890600435435772,0.17723862826824188,0.17723862826824188,16026.0,16026.0,0.06353490492876838,0.06353490492876838,0.7725490196078432,0.7725490196078432,0.001761163449754902,0.001761163449754902,0.13725490196078433,0.13725490196078433,0.002877029718137255,0.002877029718137255,0.2,0.2,0.0010153377757352942,0.0010153377757352942,0.06666666666666667,0.06666666666666667
occlusal_plane_cant,0.8,1,0.014955592341721058,0.014955592341721058,0.21878120303153992,0.21878120303153992,16026.0,16026.0,0.06353490492876838,0.06353490492876838,0.7725490196078432,0.7725490196078432,0.002181587967218137,0.002181587967218137,0.16862745098039217,0.16862745098039217,0.0036489449295343136,0.0036489449295343136,0.25098039215686274,0.25098039215686274,0.0013172224456188726,0.0013172224456188726,0.08627450980392157,0.08627450980392157
occlusal_plane_cant,1.2,1,0.01904728077352047,0.01904728077352047,0.27436989545822144,0.27436989545822144,16026.0,16026.0,0.06353490492876838,0.06353490492876838,0.7725490196078432,0.7725490196078432,0.002463845645680147,0.002463845645680147,0.18823529411764706,0.18823529411764706,0.00416253781786152,0.00416253781786152,0.28627450980392155,0.28627450980392155,0.001519476198682598,0.001519476198682598,0.09803921568627451,0.09803921568627451
